 1728  pads
 1728  groups
   24  rows
    1  max number of pads in a group
   72  max number of pads   in row
   72  max number of groups in row
***************************************************
*  Layout for LP-TPC                               
                       centre [mm]       size [mm] 
  Pad  Group  Row      x        y        x       y 
  246   246    5   102.4773  -56.4080  2.9728  7.0417
  247   247    5   105.4426  -56.6193  2.9728  7.0417
  248   248    6    94.0297  -48.7828  2.9871  7.0417
  249   249    6    97.0105  -48.9770  2.9871  7.0417
  250   250    6    99.9909  -49.1773  2.9871  7.0417
  251   251    6   102.9709  -49.3836  2.9871  7.0417
  252   252    6   105.9504  -49.5960  2.9871  7.0417
  253   253    7    91.4849  -41.5666  3.0014  7.0417
  254   254    7    94.4804  -41.7556  3.0014  7.0417
  255   255    7    97.4754  -41.9507  3.0014  7.0417
  256   256    7   100.4701  -42.1520  3.0014  7.0417
  257   257    7   103.4644  -42.3593  3.0014  7.0417
  258   258    7   106.4582  -42.5727  3.0014  7.0417
  259   259    8   106.9660  -35.5493  3.0157  7.0417
  260   260    8   103.9579  -35.3349  3.0157  7.0417
  261   261    8   100.9493  -35.1266  3.0157  7.0417
  262   262    8    97.9404  -34.9244  3.0157  7.0417
  263   263    8    94.9310  -34.7284  3.0157  7.0417
  264   264    8    91.9213  -34.5384  3.0157  7.0417
  265   265    9   107.4738  -28.5260  3.0301  7.0417
  266   266    9   104.4514  -28.3106  3.0301  7.0417
  267   267    9   101.4286  -28.1013  3.0301  7.0417
  268   268    9    98.4053  -27.8981  3.0301  7.0417
  269   269    9    95.3817  -27.7011  3.0301  7.0417
  270   270    9    92.3576  -27.5103  3.0301  7.0417
  271   271   10   107.9816  -21.5027  3.0444  7.0417
  272   272   10   104.9449  -21.2862  3.0444  7.0417
  273   273   10   101.9078  -21.0759  3.0444  7.0417
  274   274   10    98.8703  -20.8718  3.0444  7.0417
  275   275   10    95.8323  -20.6739  3.0444  7.0417
  276   276   10    92.7940  -20.4822  3.0444  7.0417
  277   277   11   108.4894  -14.4793  3.0587  7.0417
  278   278   11   105.4384  -14.2619  3.0587  7.0417
  279   279   11   102.3870  -14.0506  3.0587  7.0417
  280   280   11    99.3352  -13.8455  3.0587  7.0417
  281   281   11    96.2830  -13.6467  3.0587  7.0417
  282   282   11    93.2304  -13.4540  3.0587  7.0417
  283   283   12   108.9972   -7.4560  3.0730  7.0417
  284   284   12   105.9319   -7.2375  3.0730  7.0417
  285   285   12   102.8663   -7.0253  3.0730  7.0417
  286   286   12    99.8002   -6.8192  3.0730  7.0417
  287   287   12    96.7337   -6.6195  3.0730  7.0417
  288   288   12    93.6668   -6.4259  3.0730  7.0417
  289   289   13    57.1021    2.4468  3.0873  7.0417
  290   290   13    72.5246    1.7880  3.0873  7.0417
  291   291   13    60.1871    2.3276  3.0873  7.0417
  292   292   13    69.4406    1.9323  3.0873  7.0417
  293   293   13    63.2719    2.2021  3.0873  7.0417
  294   294   13    66.3564    2.0703  3.0873  7.0417
  295   295   14    57.3669    9.4835  3.1016  7.0417
  296   296   14    60.4662    9.3637  3.1016  7.0417
  297   297   14    63.5653    9.2376  3.1016  7.0417
  298   298   14    66.6641    9.1053  3.1016  7.0417
  299   299   14    69.7626    8.9666  3.1016  7.0417
  300   300   14    72.8609    8.8216  3.1016  7.0417
  301   301   15    57.6317   16.5202  3.1160  7.0417
  302   302   15    60.7453   16.3999  3.1160  7.0417
  303   303   15    63.8587   16.2732  3.1160  7.0417
  304   304   15    66.9718   16.1402  3.1160  7.0417
  305   305   15    70.0847   16.0009  3.1160  7.0417
  306   306   15    73.1972   15.8552  3.1160  7.0417
  307   307   16    57.8965   23.5569  3.1303  7.0417
  308   308   16    61.0244   23.4360  3.1303  7.0417
  309   309   16    64.1521   23.3087  3.1303  7.0417
  310   310   16    67.2795   23.1751  3.1303  7.0417
  311   311   16    70.4067   23.0352  3.1303  7.0417
  312   312   16    73.5335   22.8888  3.1303  7.0417
  313   313   17    58.1613   30.5936  3.1446  7.0417
  314   314   17    61.3035   30.4721  3.1446  7.0417
  315   315   17    67.5872   30.2101  3.1446  7.0417
  316   316   17    64.4455   30.3443  3.1446  7.0417
  317   317   17    73.8698   29.9225  3.1446  7.0417
  318   318   17    70.7287   30.0695  3.1446  7.0417
  319   319   18    71.0507   37.1038  3.1589  7.0417
  320   320   18    74.2061   36.9561  3.1589  7.0417
  321   321   18    64.7389   37.3798  3.1589  7.0417
  322   322   18    67.8949   37.2450  3.1589  7.0417
  323   323   18    58.4260   37.6303  3.1589  7.0417
  324   324   18    61.5826   37.5083  3.1589  7.0417
  325   325   19    71.3727   44.1381  3.1732  7.0417
  326   326   19    74.5424   43.9897  3.1732  7.0417
  327   327   19    65.0323   44.4154  3.1732  7.0417
  328   328   19    68.2026   44.2800  3.1732  7.0417
  329   329   19    58.6908   44.6669  3.1732  7.0417
  330   330   19    61.8617   44.5444  3.1732  7.0417
