#                                          
# MAP for Data Channel to Layout (Row,Col) 
#                                          
# Convention:                              
#    - Looking at the Pad Surface          
#    - Lower-Left corner is (0,0)          
#                                          
# Create by Yun-Ha using David's Map       
#                                          
# NOTE:                                    
#  pad at 20,65 is for HV
#  pad at 20,64 is for HV
#                             
#  72, 73 are added manually to give location anyway
#             
#-------------------------------           
# PhysChan  FEC  ASIC  Row  Col            
#-------------------------------           
      686    2     9   19   36
      687    2     9   17   40
      688    2     9   20   36
      689    2     9   20   41
      690    2     9   21   36
      691    2     9   21   41
      692    2     9   22   36
      693    2     9   22   41
      694    2     9   23   36
      695    2     9   23   41
      696    2     9   18   38
      697    2     9   18   40
      698    2     9   18   37
      699    2     9   18   39
      700    2     9   22   37
      701    2     9   23   40
      702    2     9   19   37
      703    2     9   22   40
      704    2     9   22   38
      705    2     9   21   40
      706    2     9   21   37
      707    2     9   19   40
      708    2     9   19   38
      709    2     9   19   39
      710    2     9   20   37
      711    2     9   23   39
      712    2     9   21   38
      713    2     9   23   38
      714    2     9   21   39
      715    2     9   22   39
      716    2     9   20   39
      717    2     9   23   37
      718    2     9   20   38
      719    2     9   20   40
      720    2    10    3   38
      721    2    10    3   40
      722    2    10    3   39
      723    2    10    0   38
      724    2    10    2   39
      725    2    10    1   39
      726    2    10    2   38
      727    2    10    0   37
      728    2    10    3   37
      729    2    10    0   39
      730    2    10    4   38
      731    2    10    4   39
      732    2    10    2   37
      733    2    10    4   40
      734    2    10    1   38
      735    2    10    2   40
      736    2    10    4   37
      737    2    10    1   40
      738    2    10    1   37
      739    2    10    0   40
      740    2    10    5   37
      741    2    10    5   39
      742    2    10    5   38
      743    2    10    5   40
      744    2    10    0   36
      745    2    10    0   41
      746    2    10    1   36
      747    2    10    1   41
      748    2    10    2   36
      749    2    10    2   41
      750    2    10    3   36
      751    2    10    3   41
      752    2    10    4   36
      753    2    10    6   40
      754    2    10    5   36
      755    2    10    4   41
      756    2    10    6   38
      757    2    10    6   39
      758    2    10    6   37
      759    2    10    5   41
      760    2    10    6   36
      761    2    10    6   41
      762    2    10    7   38
      763    2    10    7   39
      764    2    10    7   37
      765    2    10    7   40
      766    2    10    7   36
      767    2    10    7   41
      768    2    10    8   36
      769    2    10    8   39
      770    2    10    8   37
      771    2    10    8   40
      772    2    10    8   38
      773    2    10    8   41
      774    2    10    9   36
